epoch,loss,val_accuracy
0,2.8391964129686356,31.024105148487326
0,1.982063252389431,38.52104230442246
0,1.7939262995362282,41.86980569123299
0,1.7003319409132003,43.347405714507374
0,1.6404589679718018,44.48801207681839
0,1.5972249535560608,46.1290176594376
0,1.5598896721363067,46.53922864817862
0,1.535410363149643,47.39504708213594
1,1.4996588259100914,48.23987483554386
1,1.4800826188206673,48.44498032991437
1,1.4645213758051396,49.18297220327587
1,1.4489660096824168,49.3974521016444
1,1.4383420155286788,49.367227730133536
1,1.4269018302440644,50.1637288146551
1,1.4141785495102406,50.14465675134878
1,1.4058939652502538,50.41215052060268
2,1.392018790638447,50.43736443480425
2,1.382892641377449,50.823492902929665
2,1.3760107649207116,51.09987619321616
2,1.3683003955364228,51.23047133856792
2,1.363479341173172,51.085652959563994
2,1.3575862749099732,51.676886922059914
2,1.349296233689785,51.6308230403455
2,1.3448452431678772,51.76578213238598
3,1.3368934000134467,51.84869711947193
3,1.3306028872728348,51.98139342434048
3,1.3262236593961716,52.22528955594418
3,1.3210995669603347,52.285091788345355
3,1.3182532836556435,52.075460719630975
3,1.3146508002638817,52.57893086538679
3,1.3080813927292825,52.5021577291961
3,1.3053692674398423,52.51557282457257
4,1.2991751485288143,52.58895178000537
4,1.2945432983577252,52.77288405155276
4,1.2915610181152821,52.99576858798848
4,1.2873258090019226,52.920450100694026
4,1.2858599509179591,52.677523735021154
4,1.283278847026825,53.224633347664316
4,1.2775779426455498,53.11408003154972
4,1.275637517350912,53.146890445542795
5,1.270913120675087,53.166932274779946
5,1.2666902224004268,53.27829372917024
5,1.264650979667902,53.44105277789451
5,1.2609538635373116,53.40759585328088
5,1.2603532344937325,53.16240670043607
5,1.2583384301185607,53.671048931156314
5,1.253378824621439,53.562435146903375
5,1.251842955571413,53.56647583828183
6,1.24791079646945,53.631773410957706
6,1.2444593037486076,53.64809780412668
6,1.242960147458315,53.800835938232375
6,1.2398763807415962,53.78515805568396
6,1.2398470443069936,53.57536535931444
6,1.2382253167152404,54.040368123147346
6,1.2337582433342933,53.89651951007425
6,1.2326034919917583,53.90169159503868
7,1.2292915180444717,53.89086254214441
7,1.2261261125326157,53.907025307658245
7,1.2250547229111195,54.11439358920069
7,1.2228565210580826,54.085947121896346
7,1.2230276717662811,53.82524171415826
7,1.2215933908879757,54.260343361790575
7,1.2175156431257725,54.17112489615423
7,1.21663034786582,54.1646597899487
8,1.21378384065032,54.09225060044674
8,1.2108494647145271,54.16983187491312
8,1.2102176152169704,54.307538637090964
8,1.208322835814953,54.31562001984788
8,1.2089107180178165,54.05135880369675
8,1.207523463690281,54.485005802432816
8,1.2036510329723358,54.38592804983304
8,1.2032083478271962,54.344389742462496
9,1.2005328853070736,54.267131723306385
